id|enun|op1|op2|op3|op4|op5|resp|year|idimg
292|La espondilitis anquilosante se diferencia de la hiperostosis esquelética difusa idiopática o enfermedad de Forestier-Rotés en que en esta última:|No existe sacroileítis radiográfica.|La movilidad espinal rara vez está comprometida.|Es excepcional que afecte a la columna cervical.|Hay predominio en mujeres.|El curso es agudo e invalidante.|1|2012|0
293|¿Cuál de las siguientes afirmaciones respecto a la arteritis temporal o de células gigantes es cierta?|La principal complicación es la amaurosis por afectación neurítica isquémica.|La biopsia de la arteria temporal tiene que resultar positiva para iniciar el tratamiento.|En el tratamiento inicial puede elegirse entre esteroides o inmunosupresores.|La arteritis de Takayasu es clínicamente similar pero la histología es muy diferente.|La elevación de la creatinkinasa es típica cuando existe polimialgia asociada.|1|2012|0
294|Una paciente de 25 años con antecedentes de rash cutáneo tras exposición solar y poliartritis ocasionales en articulaciones de las manos que controla con antiinflamatorios no esteroideos presenta desde hace 15 días, malestar general, sensación progresiva de debilidad generalizada y palidez. En la analítica destaca una Hemoglobina de 7 g/dL, VCM de 108 mm/h, 150000 plaquetas/mm3, 3000 leucocitos/mm3, LDH elevada, haptoglobina indetectable. En el caso de elegir una sola prueba diagnóstica indique cuál de las siguientes determinaciones debe realizarse en primer lugar:|Ferritina.|Vitamina B12.|Ácido fólico.|Test de Coombs directo.|Anticuerpos antinucleares (ANA).|4|2012|0
295|Una mujer de 75 años consulta por lesiones violáceas en manos y cuello junto a debilidad muscular progresiva de 3 meses de evolución. ¿Qué pruebas diagnósticas, entre las que se indica, puede ser de utilidad para el diagnóstico?|Determinación de anticuerpos anti músculo liso.|Biopsia de tejido celular subcutáneo.|Estudio genético de sus descendientes.|Determinación de aldolasa sérica.|Electroencefalograma.|4|2012|0
296|Un paciente hiperuricémico que habitualmente toma 100 mg de alopurinol al día acude a urgencias con dolor agudo y signos inflamatorios en rodilla derecha. Se realiza artrocentesis y en el microscopio de luz polarizada se observan cristales intracelulares con birrefrignecia negativa. ¿Qué actitud terapéutica entre las que a continuación se indica, es la más adecuada en este caso?|Añadir un AINE hasta que la cristis remita.|Suspender alopurinol e comenzar con AINE.|Sustituir el alopurinol por un uricosúrico.|Suspender alopurinol e iniciar tratamiento con colchicina.|Aumentar la dosis de alopurinol a 300 mg/día.|1|2012|0
297|De los métodos terapéuticos citados a continuación, ¿cuál considera que resulta más eficaz para prevenir la fractura de cadera?|Actividad física.|Calcitonina.|Calcio y Vitamina D.|Estrógenos.|Bifosfonatos.|1|2012|0
298|Paciente de 75 años de edad, con importante gonartrosis con "Genu Varo" que le condiciona marcada impotencia funcional, limitación de la movilidad y dolor contínuo que le exige estar con medicación antirreumática, antiinflamatoria y analgésicos de forma continuada. ¿Qué tratamiento debe indicarse en este caso?|Rehabilitación de la rodilla afectada.|Artroplastia de la rodilla afectada.|Osteotomía tibial supratuberositaria de abducción.|Lavado artroscópico de la rodilla.|Sinovectomía de rodilla.|2|2012|0
299|Un paciente de 32 años, diabético en tratamiento con insulina y un buen control de sus cifras de glucemia, acude a su consulta por presentar hormigueo en ambas manos, con sensación de acorchamiento e insensibilidad térmica de instauración progresiva en el curso de 2 semanas. No refiere trastornos visuales, déficit de fuerza, torpeza motora, ni otros síntomas. En la exploración encuentra una anestesia para el dolor y la temperatura en ambas manos y porción distal de los antebrazos; la sensibilidad posicional y la vibratoria están conservadas. No presenta atrofia muscular ni déficit de fuerza. Los reflejos musculares son normales y simétricos. No se observa dismetría, disdiadococinesia ni temblor intencional. El resto de la exploración neurológica es rigurosamente normal. Indique cuál es el diagnóstico más probable en este caso:|Lesión medular central cervical.|Síndrome del tunel del carpo bilateral.|Neuropatía periférica sensitiva simétrica distal de causa diabética.|Lesión compresiva medular cervical.|Enfermedad desmielinizante tipo esclerosis múltiple.|1|2012|0
300|Indique qué arteria es la afectada en un paciente diestro que, por un accidente cerebro-vascular, sufre trastornos motores, sensitivos y afasia:|Cerebral anterior izquierda.|Cerebral anterior derecha.|Cerebral media derecha.|Cerebral media izquierda.|Cerebral posterior.|4|2012|0
301|Es patognomónico de la enfermedad llamada Gilles de la Tourette:|La existencia de ideas obsesivas.|La existencia de tics bucofonatorios.|Un nivel intelectual alto.|La existencia de tics motores.|Los trastornos de conducta.|2|2012|0
302|Un varón de 78 años consulta por un cuadro de deterioro cognitivo progresivo de un año de evolución con fallos de memoria y de orientación. Su familia refiere alucinaciones visuales recurrentes, caídas ocasionales y un enlentecimiento motor llamativo. ¿Cuál es el diagnóstico más probable?|Demencia vascular multi-infarto.|Demencia tipo Alzheimer.|Demencia fronto-temporal.|Demencia con cuerpos de Lewy difusos.|Hidrocefalia normotensiva.|4|2012|0
303|Una mujer de 42 años, casada y con 2 niños en edad escolar, consulta a su médico de familia por un fuerte dolor de cabeza de unos 7 días de evolución. Aunque ya hace más de un año que viene teniendo episodios similares, en los 2 últimos meses se han agravado notablemente. El dolor es como un peso que comienza en la zona occipital, se extiende a ambas regiones temporales y apenas se le alivia tomando pastillas de 650 mgr de paracetamol, por lo que solicita una TC (está convencida de que "algo tiene que tener en la cabeza"). ¿Cuál de las siguientes es la causa más plausible de su cefalea?|Los trastornos vasculares.|La migraña.|La tensional.|La arteritis de la arteria temporal.|La oncológica.|3|2012|0
304|Si después de un TCE apareciese exoftalmos pulsátíl, soplo audible, intensa quemosis conjuntival, nos indicaría la posible existencia de:|Fractura de base craneal anterior.|Hematoma subdural crónico.|Trombosis del seno venoso sagital.|Fístula carótido-cavernosa.|Hidrocefalia postraumática.|4|2012|0
305|Paciente mujer de 18 años, con historia de ausencias entre los 6 y 9 años, crisis tónico-clónicas generalizadas de reciente comienzo y saltos violentos de miembros superiores al desayunar. La clínica empeora con salidas nocturnas de fines de semana. Un EEG muestra descargas de polipuntas agudas a 6 ciclos/segundo. El diagnóstico más probable es:|Epilepsia mioclónica juvenil.|Gran mal epiléptico.|Pequeño mal atípico.|Epilepsia sintomática por esclerosis temporal mesial.|Síndrome de Lennox-Gastaut.|1|2012|0
306|Hombre de 24 años que refiere astenia progresiva desde al menos 6 meses, voz ronca, lentitud del habla, somnolencia e hinchazón de manos, pies y cara. Exploración: pulso a 52 latidos por minuto, cara abotargada y piel seca y pálida. Analítica: Ligera anemia, colesterol 385 mg/dL (normal <220), creatinina 1,3 mg/dL (normal: 0,5-1,1), proteinuria negativa, TSH 187 µUI/mL (normal 0,35-5,5) y T4 Libre 0,2 ng/dL (normal 0,85-1,86). ¿Qué estrategia le parece más adecuada?|Determinar la T3 Libre y realizar una resonancia magnética hipofisaria.|Realizar una ecografía tiroidea antes de iniciar el tratamiento.|Tratar con L-Tiroxina y determinar anticuerpos antitiroideos.|Realizar una citología tiroidea, previa al tratamiento.|Tratar con L-Triyodotironina y una estatina.|3|2012|0
307|En caso de sospecha clínica de síndrome de Cushing, ¿cuál de estas pruebas diagnósticas debe realizarse inicialmente?|Resonancia magnética hipofisaria.|Tomografía axial computerizada abdominal.|Determinación de corticotropina (ACTH) plasmática basal.|Determinación de cortisol plasmático basal. |Determinación de cortisol libre en orina de 24 horas.|5|2012|0
308|¿Cuál es la causa más frecuente de hipoglucemia en el adulto?|Hipoglucemia reactiva.|Insulinoma.|Ejercicio físico excesivo.|Ayuno prolongado.|Iatrogénica.|5|2012|0
309|Mujer de 76 años con obesidad y diabetes mellitus tipo 2 en tratamiento con metformina. Acude a urgencias porque desde hace tres días presenta fiebre de 38ºC, polaquiuria, disuria, intensa sed y dismunición progresiva de su nivel de conciencia. En la exploración física se aprecian signos de deshidratación, presión arterial 95/54 mmHg y no hay signos de focalidad neurológica. En la analítica destaca leucocitosis, creatinina de 1.8 mg/dL y glucemia 855 mg/dL. ¿Cuál es el diagnóstico más probable?|Insuficiencia renal de causa obstrutiva.|Cetoacidosis diabética con coma.|Hematoma subdural.|Coma hiperglucémico hiperosmolar no cetósico.|Insuficiencia cardiaca.|4|2012|0
310|Un paciente diabético de 60 años consulta por primera vez respecto al tratamiento de su enfermedad. ¿Qué objetivo a alcanzar de los siguientes le recomendaría en primer lugar?|Realizarse glucemia capilar basal a diario.|Abandono del hábito tabáquico.|Mantener un índice de masa corporal (IMC) menor de 21.|Mantener la tensión arterial por debajo de 110/70 mmHg.|Evitar las grasas animales en la dieta.|2|2012|0
311|Paciente de 55 años de edad diagnosticado de HTA hace 2 meses en revisión de empresa. Analítica: glucosa 129 mg/dl, colesterol 202 mg/dl, LDLc 160 mg/dl, HDLc 38 mg/dl, triglicéridos 171 mg/dl, creatinina 1.1 mg/dl. Consulta por mal control de la tensión arterial, edemas maleolares y disnea que ocasionalmente es nocturna. Exploración física: IMC 38 kg/m2, perímetro abdominal 110 cm. TA 157/93, FC 70 lpm, FR 14 rpm. Soplo sistólico con refuerzo del segundo ruido. Pulsos periféricos con discreta asimetría en pedio y tibial posterior derechos que son más débiles respecto a extremidad izquierda. Rx de tórax y ECG sin alteraciones. ¿Cuál de las siguientes pruebas complementarias es la menos necesaria para la detección de lesiones en órganos diana?|Determinación de hemoglobina glicosilada.|Ecocardiograma transtorácico.|Realización de fondo de ojo.|Índice tobillo-brazo.|Determinación de microalbuminuria.|1|2012|0
312|Hombre de 34 años remitido a la consulta por presentar cifras de colesterol LDL superiores a 250 mg/dl, de forma persistente. El paciente se encuentra asintomático pero en la exploración se aprecia la presencia de manchas induradas blanquecinas en codos, rodillas y párpados. Su TA es de 135/85 mmHg. Su padre murió de un infarto de miocardio a la edad de 48 años. En la analítica, realizada en ayunas, destaca un colesterol total de 346 mg/dl, un LDL colesterol de 278 mg/dl, un HDL colesterol de 42 mg/dl, unos triglicéridos de 130 mg/dl y una glucosa de 93 mg/dl. Respecto a la enfermedad que padece este paciente, una de las siguientes afirmaciones es FALSA. Señale cuál:|Las estatinas son eficaces en el tratamiento de la forma heterocigota de la enfermedad, pero a menudo necesitan combinarse con inhibidores de la absorción de colesterol para alcanzar los objetivos terapéuticos y el control de la enfermedad.|Se trata de una enfermedad hereditaria autosómica codominante, con una alta penetrancia, por lo que es frecuente que alguno de los progenitores y hermanos del individuo la padezcan también.|Los varones no tratados tienen una probabilidad cercana al 50% de sufrir un evento coronario antes de los 60 años de edad, y las mujeres con la enfermedad presentan una prevalencia de cardiopatía isquémica superior a la de la población general femenina.|El trastorno genético afecta también a la síntesis de los triglicéridos, provocando en las fases avanzadas de la enfermedad, un incremento de los mismos, que suele ser superior a los 500 mg/dl.|El trastorno genético afecta al gen que codifica el receptor del LDL colesterol y se han descrito más de 900 mutaciones.|4|2012|0
313|Una mujer de 55 años acude a consulta por fatiga y poliuria de dos años de evolución. Los análisis revelan hipercalcemia, aumento de la PTH e incremento de los marcadores del recambio óseo. El estudio radiográfico muestra resorción subperióstica y osteoporosis. La gammagrafía con sestamibi pone de manifiesto un adenoma paratiroideo. Se efectúa una paratiroidectomía con cirugía mínimamente invasiva. En el postoperatorio la enferma desarrolla hipocalcemia intensa y tetania, siendo la PTH inferior a 5 ng/l. La enferma responde bien al tratamiento inicial con calcio intravenoso y posteriormente con calcio y vitamina D orales. ¿Cuál es el diagnóstico más probable?|Osteomalacia.|Hipoparatoroidismo quirúrgico permanente.|Transfusión de sangre citratada.|Síndrome del hueso hambriento.|Insuficiencia de vitamina D.|4|2012|0
314|Hombre de 62 años con antecedentes de hipertensión arterial en tratamiento con captoprilo, úlcera duodenal y urolitiasis por ácido úrico. Consulta por crisis de podagra típica similar a otras presentadas en los últimos dos años. En la exploración se obsevan tofos en ambos pabellones auriculares. Los análisis muestran ácido úrico 10.1 mg/dl, creatina 1.5 mg/dL. Indique cuál de las siguientes respuestas es FALSA en relación con su posible tratamiento con alopurinol.|En los primeros meses de tratamiento se aconseja asociar dosis bajar de colchicina para prevenir nuevos ataques.|Su empleo por tiempo prolongado es prácticamente obligado porque existen tofos.|Su introducción debe ser gradual hasta una dosis que consiga una uricemia inferior a 6 mg/dL.|Su empleo es de segunda elección, cuando han fracasado los uricosúricos.|Su introducción debe demorarse hasta que se haya resuelto al ataque actual con antiinflamatorios o con colchicina.|4|2012|0
315|¿Cuál de los siguientes datos NO es propio del síndrome hemolítico?|Reticulocitosis.|Adenopatías.|Incremento LDH sérica.|Hiperbilirrubinemia.|Esplonomegalia.|2|2012|0
316|Mujer de 35 años sana que consulta por astenia. En el hemograma presenta anemia microcítica e hipocroma (hemoglobina de 7 g/dL, volumen corpuscular medio de 68 fL, hemoglobina corpuscular media de 24 pg) con una amplitud de distribución eritrocitaria elevada (ADE 20%), reticulocitos disminuídos (0.3%, 30.000/L absolutos), contenido de hemoglobina disminuído en los reticulocitos (17 pg) y discreta trombocitosis (500.000 plaquetas/uL). Con los datos del hemograma, ¿cuál sería su sospecha diagnóstica aún sin tener la bioquímica de la paciente?|Rasgo talasémico.|Anemia periférica, regenerativa, por hemorragia activa aguda.|Anemia central, arregenerativa, por déficit de ácido fólico.|Anemia periférica, regenerativa, hemolítica.|Anemia central, arregenerativa, por déficit de hierro.|5|2012|0
317|Mujer de 32 años con parálisis cerebral del parto que acude a urgencias por cuadro de orinas oscuras de unos días de evolución en relación con episodio de fiebre alta y tos seca. Al ingreso se objetiva en el hemograma 16900 leucocitos/mm3 (85%S; 11%L; 4%M), hemoglobina de 6.3 g/dl; VCM 109 fl; 360000 plaquetas/mm3. En la bioquímica LDH 2408 UI/L; Bilirrunina 6,8 mg/dl (Bilirrubina no conjugada 6,1 mg/dl) GOT y GPT normales. En el estudio morfológico de sangre se observa anisocitosis macrocítica con frecuentes formas esferocitadas y policromatofilia sin blastos. El estudio de anticuerpos irregulares es positivo en forma de panaglutinina, dificultando la prueba cruzada. Cuál sería su sospecha diagnóstica y el tratamiento más adecuado.|Anemia perniciosa e inyecciones periódicas de vitamina B12.|Leucemia aguda y quimioterapia.|Anemia hemolítica autoinmune asociada a infección respiratoria y corticoides.|Esferocitosis hereditaria y esplenectomía.|Aplasia medular e inmunoterapia con timoglobulina y ciclosporina.|3|2012|0
318|¿Cuál de las siguientes drogas es útil en el síndrome mielodisplásico?|Rituximab.|Zoledronato.|Imatinib.|Azacitidina.|Bortezomib.|4|2012|0
319|La mutación del gen JAK-2 constituye uno de los criterios mayores de diagnóstico en una de estas patologías :|Leucemia Mieloide Aguda tipo M4 de la FAB.|Leucemia Mielomonocítica Crónica.|Síndrome Mielodisplásico tipo Anemia Refractaria.|Leucemia Mieloide Crónica.|Policitemia Vera.|5|2012|0
320|Una mujer de 43 años consulta a su médico de atención primaria por cansancio, gingivorragias y petequias. Se realiza analítica en la que destaca: anemia de 8 g/dl, trombopenia de 4000/microlitro y leucopenia de 1200/microlitro con neutropenia absoluta. En el estudio de coagulación se observa alargamiento del APTT (43”), actividad de la protrombina disminuída (55%), hipofibrinogenemia (98 mg/dl) y presencia de concentración elevada de dímero-D y monómeros de fibrina. Se remite para estudio hematológico urgente, realizándose un aspirado de médula ósea en el que se observa una infiltración masiva por elementos inmaduros con núcleo hendido, y numerosas astillas y bastones de Auer en el citoplasma. ¿Cuál es el diagnóstico más probable de esta paciente?|Leucemia aguda promielocítica.|Leucemia aguda monoblástica.|Leucemia mieloide crónica.|Leucemia linfoide crónica.|Leucemia linfoide aguda.|1|2012|0
321|Entre los linfomas que se citan a continuación ¿cuál de ellos se presenta con mayor frecuencia en nuestro medio?|Linfoma de Zona Marginal tipo MALT.|Linfoma Difuso de Células Grandes B.|Linfoma Linfoplasmacítico.|Linfoma de Células del Manto.|Linfoma Linfoblástico de células B precursoras.|2|2012|0
322|La alteración genética característica del linfoma de Burkitt es la traslocación t(8;14). ¿Qué oncogén se activa mediante esta traslocación?|BCL-6.|Ciclina D1.|BCL-2.|MAF.|c-MYC.|5|2012|0
323|De todas las siguientes, ¿cuál es la complicación que puede observarse en los enfermos que reciben heparina?|Plaquetopenia.|Anemia hemolítica autoinmune.|Síndrome leucoeritroblástico.|Insuficiencia renal aguda.|Trombosis venas suprahepáticas.|1|2012|0
324|Mujer de 25 años de edad que acude a consulta porque desea quedar embarazada y quiere saber qué tratamiento debe realizar durante el eventual embarazo, ya que es portadora del Factor V Leiden en heterocigosis. Nunca ha tenido ningún fenómeno trombótico. Se realizó la determinación del mencionado factor como estudio familiar tras un episodio de embolia del pulmón en un hermano. ¿Qué tratamiento se debe aconsejar?|Dado que la gestación es un estado protrombótico, existiría alto riesgo de tromboembolia venosa por lo que se debe desaconsejar el embarazo.|El Factor V Leiden en heterocigosis es una trombofilia de bajo riesgo y no hay necesidad de ningún tratamiento en el embarazo y puerperio.|Se debe aconsejar aspirina a bajas dosis durante todo el embarazo y puerperio.|Se debe realizar tratamiento con heparina de bajo peso molecular a dosis profilácticas en el puerperio inmediato siendo opcional realizar igual tratamiento durante el embarazo.|Debe realizar tratamiento con fármacos anti vitamina K (Acenocumarol) durante el embarazo.|4|2012|0
325|Cual de las siguientes alteraciones no es característica del hiperparatiroidismo secundario de los pacientes con insuficiencia renal:|Hiperfosfaturia.|Producto fosfo-cálcico elevado.|Reabsorción subperióstica.|Aumento de las fosfatasas alcalinas.|Calcificaciones vasculares.|1|2012|0
326|Existen múltiples factores que contribuyen a la afectación renal en el Mieloma Múltiple y causante de insuficiencia renal. De las cinco respuestas sólo una es falsa.|Depósitos de cadenas ligeras.|Vasculitis.|Proteinuria de Bence-Jones y tubulopatía con cilindros.|Amiloidosis.|Hipercalcemia e hiperuricemia.|2|2012|0
327|¿Cuál de los siguientes factores NO favorece el desarrollo de pielonefritis aguda?|Quiste renal simple.|Riñón de herradura. |Reflujo vésico-ureteral.|Tumor de urotelio.|Nefrolitiasis.|1|2012|0
328|Señale cuál de las siguientes afirmaciones referentes al Síndrome de Secreción Inadecuada de ADH (SIADH) es FALSA:|El dolor postoperatorio y las enfermedades neuropsiquiátricas son etiologías conocidas del SIADH.|Los pacientes con SIADH tienen una eliminación de sodio por orina inferior a 40 mEq/litro como consecuencia del reajuste a un nivel más bajo de osmolaridad ("reset osmotat").|La paroxetina y la sertralina deben ulizarse con precaución, por ser fármacos causantes de SIADH en algunos pacientes.|El SIADH se caracteriza por una hiponatremia hipoosmótica con una osmolaridad urinaria mayor de 100 mosm/kg.|El SIADH constituye en nuestros días una de las causas más frecuentes de hiponatremia normovolémica.|2|2012|0
329|Mujer de 19 años, peso 60 kg, con deshidratación aguda por larga exposición al sol. Presión arterial tumbada 100/60 mmHg. De pie, 70/50 mmHg con sensación de mareo. Niveles de sodio sérico 155 mmol/L. ¿Cuál es el tratamiento más correcto, en las primeras 24 h teniendo en cuenta la totalidad de los datos de que disponemos?|Suero salino isotónico (0.9%), 2000 ml.|Suero glucosado 5%, 1000 ml.|Suero hiposalino (0.45%), 3000 ml.|Hidratación oral con 1 litro de agua.|Suero salino hipertónico (3%), 500 ml + 500ml de glucosado de 5%.|3|2012|0
330|El tratamiento de elección para el carcinoma in situ de vejiga es:|Quimioterapia local.|Administración de BCG intravesical.|Quimioterapia sistémica.|Radioterapia convencional.|Radioterapia conformada.|2|2012|0
331|De los posibles mecanismos de producción de incontinencia urinaria tras una prostatectomía radical, señale la respuesta FALSA:|Déficit esfinteriano.|Afectación contráctil del detrusor.|Hiperactividad del detrusor.|Baja acomodación vesical.|Disinergia vesico-esfinteriana.|5|2012|0
332|Un paciente varón de 45 años de edad con antecedentes de litiasis úrica con cólicos nefríticos expulsivos de repetición desde hace 25 años, acude a Urgencias refiriendo palpitaciones y dolor lumbar derecho intenso desde hace 2 horas antes. El análisis de orina muestra un pH de 5.5 y leucocituria sin proteinuria. El electrocardiograma confirma una fibrilación auricular no conocida previamente. En la bioquímica sanguínea destaca una creatinina de 0.9 mg/dl, un calcio de 11 mg/dl y una LDH de 950 U/l. ¿Cuál es la maniobra diagnóstica más útil a realizar?.|Ecografía abdomal.|Ecocardiografía doppler.|Urografía intravenosa.|TC espiral con contraste.|Radiografía simple de abdomen.|4|2012|0
333|Un varón de 64 años consulta por fiebre tos disnea y dolor pleurítico derecho de 1 semana de evolución. En la radiografía de tórax se aprecia un derrame pleural derecho loculado que ocupa dos terceras partes del hemitórax. Durante la toracocentesis se extrae un líquido amarillento cuyo análisis muestra: leucocitos 15.000/µL, 92% de neutrófilos, glucosa 30 mg/dL, pH 7, lactato deshidrogenasa 3500 U/L, adenosina desaminasa 45 U/L y ausencia de gérmenes en la tinción de Gram. ¿Cuál es la siguiente acción más apropiada en este paciente?|Antibioticoterapia intravenosa.|Antibioticoterapia intravenosa y repetir la toracocentesis diagnóstica si no hay mejoría en 48 horas.|Antibioticoterapia intravenosa y realizar una toracocentesis evacuadora (terapéutica) si se aisla algún gérmen en el cultivo del líquido pleural.|Antibioticoterapia intravenosa y colocar un tubo o catéter torácico para drenar todo el líquido pleural.|Antibioticoterapia intravenosa y repetir la toracocentesis diagnóstica en 24 horas.|4|2012|0
334|Una de las siguientes condiciones no es definitoria de SIDA:|Neumonía por Pneumocystis jiroveci.|Linfoma cerebral primario.|Candidiasis oral.|Toxoplasmosis cerebral.|Tuberculosis pulmonar.|3|2012|0
335|En la relación con las pautas de tratamiento de la Tuberculosis en pacientes con Infección por el Virus de la Inmunodeficiencia Humana (VIH), ¿cuál de las siguientes respuestas es la correcta?.|Deben incluir más fármacos que en los pacientes sin VIH.|Son más prolongadas que en los pacientes sin VIH.|Son las mismas que en los pacientes sin VIH.|El tratamiento debe ser indefinido.|No presentan interacciones farmacológicas con los antirretrovirales.|2|2012|0
336|A un joven asintomático de 14 años cuyo padre acaba de ser diagnosticado de Tuberculosis Pulmonar se le realiza un Mantoux, con resultado negativo. ¿Qué actitud es la adecuada?|Repetir la prueba cutánea al mes.|Iniciar quimioprofilaxis y repetir la prueba cutánea a los 3 meses.|Habría que realizar estudio del esputo antes de iniciar quimioprofilaxis con Isoniacida durante 1 año.|Tranquilizarle, ya que no tiene ningún riesgo.|Realizarle una radiografía de tórax.|2|2012|0
337|Mujer de 17 años de edad que acude a urgencias por un cuadro agudo de fiebre elevada, dolor faríngeo y adenopatías cervicales. Previamente había sido diagnosticada de faringitis aguda y recibió tratamiento con amoxicilina, presentando posteriormente un exantema cutáneo maculoso generalizado. Se realiza analítica que presenta ligera leucocitosis con linfocitosis y presencia de linfocitos activados, ligera trombopenia y transaminasas levemente aumentadas. ¿Cuál sería el diagnóstico más probable de este cuadro clínico?|Infección por herpes virus 8.|Es un cuadro típico de mononucleosis infecciosa.|Enfermedad de Lyme.|Infección por virus varicela zoster.|Toxoplasmosis aguda.|2|2012|0
338|Señale cuál de las siguientes afirmaciones referidas al paludismo o sus agentes causales no es cierta.|La infección del ser humano comienza con la picadura del mosquito Anopheles, que introduce esporozoitos con su saliva en el sistema circulatorio.|La detección de una infección mixta no tiene influencia directa sobre el tratamiento elegido.|La afectación del cerebro (paludismo cerebral) es más frecuente en la infección por Plasmodium falciparum.|Plasmodium ovale se encuentra sobre todo en Africa tropical.|Plasmodium vivax es selectivo en cuanto a que solo invade hematíes jóvenes inmaduros.|2|2012|0
339|Mujer de 47 años de edad. Natural de Cochabamba (Bolivia), reside en España desde hace 8 años. A medidados del año 2009 comienza con palpitaciones, disnea y edemas progresivos en extremidades inferiores. Es diagnosticada de insuficiencia cardíaca secundaria a miocardiopatía por Chagas. ¿Cuál es es agente etiológico de esta enfermedad endémica en varios países de Latinoamérica?|Giardia lamblia.|Toxoplasma gondii.|Trypanosoma brucei.|Leishmania donovani.|Trypanosoma cruzi.|5|2012|0
340|La sepsis grave se define como la sepsis que presenta uno o más signos de disfunción de órganos. Entre los siguientes señale el incorrecto.|Hipoxemia con Pa 02/Fi 02 < 250.|Hipotensión.|Hiperlactoacidemia.|Oliguria (diuresis <0.5 ml/kg).|Niveles plasmáticos elevados de proteína C reactiva o procalcitonina.|5|2012|0
341|Un varón de 19 años consulta por un cuadro de febrícula, mialgias y odinofagia, acompañado de máculas cutáneas generalizadas no pruriginosas durante los últimos 7 días. En el interrogatorio refiere, como único suceso médico, haber presentado una úlcera anal que le causaba dolor a la defecación en el mes anterior que desapareció progresivamente sin ninguna intervención. ¿Cuál es el germen causante de este cuadro clínico?|Entamoeba coli.|Virus de herpes simple tipo 2.|Chlamydia trachomatis.|Treponema pallidum.|Gonococo.|4|2012|0
342|Una mujer de 30 años con antecedentes personales de drogadicción en periodo actual de desintoxicación es traída a Urgencias con un cuadro de profunda somnolencia, sin otra sintomatología. Logramos averiguar que en su tratamiento se incluyen olanzapina y benzodiacepinas. Qué es lo que debemos hacer en primer lugar:|Administrar flumazenilo.|Administrar naloxona.|Proceder a intubación endotraqueal.|Realizar una radiografía de cráneo.|Esperar a que despierte.|1|2012|0
343|Cetuximab es un anticuerpo monoclonal anti-EGFR empleado en el tratamiento del cáncer colorrectal izquierdo avanzado. Existe un efecto secundario característico de este fármaco cuya intensidad es directamente proporcional a la eficacia antitumoral, señale cual:|Infarto agudo de miocardio.|Hipertensión arterial.|Ictus.|Hemorragia.|Rash cutáneo acneiforme.|5|2012|0
344|Hombre de 60 años que acude a urgencias por crisis comicial. Ex-fumador desde hace 3 años, sin otros antecedentes de interés. Una TAC evidencia metástasis múltiples. ¿Cuál es el origen más probable?|Cáncer de pulmón.|Cáncer de cabeza y cuello.|Cáncer de páncreas.|Cáncer de vejiga urinaria.|Cáncer de colon.|1|2012|0
345|El psiquiatra de interconsulta acude a examinar a un paciente en Cardiología que rechaza un tratamiento que el facultativo a cargo del caso considera indicado e insustituible. Tras la exploración no aprecia patología psiquiátrica alguna; el paciente comprende la información que se le ha aportado, los posibles beneficios y riesgos del tratamiento (incluído el fallecimiento), y sopesa adecuada y racionalmente esta información, pero se mantiene firme en su decisión de no ser tratado. El psiquiatra concluye que el enfermo está capacitado para la toma de decisiones en el ámbito de la atención sanitaria. La enfermedad que presenta el paciente, que se niega a firmar el alta voluntaria, no es infecciosa ni representa ningún riesgo especial para terceros. ¿Cuál es la decisión más adecuada a tomar?|Alta hospitalaria.|Incapacitación civil.|Solicitar la intervención de familiares que autoricen la intervención.|Informar al juez con el fin de que ordene tratamiento.|Ingreso en Psiquiatría para trabajar la negación y la rabia inherentes a su proceso.|1|2012|0
346|De las siguientes afirmaciones sobre el control sintomático en pacientes al final de la vida señale la correcta:|El dolor de características viscerales es el que peor respuesta tiene al tratamiento con opiáceos.|Los neurolépticos a dosis bajas ayudan al control de las náuseas desencadenadas por el inicio de un tratamiento con opiáceos.|Los antidepresivos tricíclicos no se consideran medicación coadyuvante para el alivio sintomático del dolor.|Si precisamos sedación para control de la fase agónica podemos realizarla de forma exclusiva con morfina.|Si el paciente tiene dolor se emplearán siempre opiáceos potentes para control sin tener en consideración la severidad y características del dolor.|2|2012|0
347|¿Cuál es el tratamiento de la obstrucción intestinal por carcinomatosis peritoneal en la fase terminal de la enfermedad?|Dieta absoluta y sueros por vía intravenosa o subcútanea.|Administración por vía subcutánea de morfina, buscapina, haloperidol y octeótrido.|Sonda nasogástrica, aspiración continua, sueroterapia intravenosa.|Alimentación parenteral total y laxantes.|Cirugía desobstrutiva.|2|2012|0
348|A un hombre de 74 años de edad con historia de enfermedad coronaria se le ha practicado un triple by-pass coronario hace 3 días. Se le extubó en el primer día postoperatorio. Ahora requiere valoración porque está agitado a pesar de antipsicóticos y sujección mecánica. Se quita el tubo de oxígeno a pesar de sujección en muñecas. Debido a su confusión se ha limitado la deambulación y mantiene una sonda vesical. Los signos vitales son normales y el médico recomienda quitar la sonda vesical y realizar una análisis de orina con cultivo. ¿Cuál de los siguientes puede significativamente disminuir la agitación y ayudar a resolver el estado confusional agudo?|Ayudarle en la ingesta.|Aumentar la dosis de antipsicóticos.|Limitar la movilidad a transferencia al sillón hasta que se resuelva el estado confusional agudo.|Colocar al paciente en una silla geriátrica al lado del control de enfermería.|Retirar las sujecciones mecánicas de las muñecas.|5|2012|0
